age,educational-num,fnlwgt,capital-gain,capital-loss,hours-per-week,education,marital-status,occupation,income,relationship,workclass,native-country,gender,race
61,8,21175,0,0,60,2,2,3,0,0,2,38,1,4
48,14,67229,0,0,40,12,5,0,0,4,1,38,0,2
36,10,236391,0,0,45,15,2,3,1,0,2,38,1,4
24,11,325596,0,0,45,8,2,6,0,0,2,38,1,4
40,10,83411,0,0,37,15,2,6,0,0,2,38,1,4
33,9,154227,0,0,50,11,2,11,1,0,3,38,1,4
37,10,248010,0,1887,40,15,2,6,1,0,2,38,1,4
34,14,198613,4650,0,40,12,4,3,0,3,2,38,1,4
56,10,321529,15024,0,40,15,2,3,1,0,3,38,1,4
37,13,203079,0,0,55,9,6,3,0,1,2,38,0,4
44,9,284652,0,0,40,11,0,11,0,4,2,38,0,2
54,9,59840,0,0,45,11,0,5,0,1,2,38,1,4
23,9,52753,0,0,50,11,4,6,0,1,2,38,1,4
22,9,199266,0,0,45,11,4,7,0,1,2,38,0,4
33,13,196385,0,1977,40,9,2,3,1,0,2,38,1,4
39,13,163205,0,0,50,9,5,9,1,1,2,38,1,4
47,10,411047,0,0,37,15,0,0,0,1,2,38,0,2
26,9,209440,0,0,55,11,4,9,0,4,2,38,0,2
31,10,56964,0,0,40,15,0,3,0,4,2,38,0,4
44,10,299197,0,0,45,15,4,13,0,1,2,38,1,4
42,15,240628,0,0,50,14,2,9,1,5,3,38,0,4
19,9,355313,0,0,40,11,4,6,0,1,2,38,0,4
27,9,132267,0,0,40,11,2,5,1,0,2,38,1,4
51,10,174861,0,0,40,15,2,10,1,0,1,38,1,4
28,13,142443,0,0,50,9,2,3,0,0,3,38,1,4
57,13,26716,0,0,45,9,0,2,0,1,2,38,1,4
45,13,185588,0,0,40,9,0,9,0,4,1,38,0,4
50,11,175029,0,0,40,8,2,9,1,0,2,38,1,4
34,13,34848,0,0,54,9,2,11,0,0,3,38,1,4
45,4,411273,0,0,40,5,2,2,0,0,2,38,1,2
73,9,143437,0,0,20,11,2,3,0,0,1,38,1,4
34,13,357145,0,0,50,9,2,9,1,5,2,38,0,4
31,10,236861,0,0,55,15,2,11,1,0,2,38,1,4
19,7,53355,0,0,12,1,4,11,0,1,2,38,1,4
25,10,29106,0,0,50,15,4,7,0,3,2,38,0,4
38,11,213274,6497,0,40,8,0,2,0,4,0,38,0,4
39,13,22463,0,0,40,9,2,13,0,0,2,38,1,4
23,13,180497,0,0,32,9,4,12,0,3,2,38,0,2
49,9,37306,0,0,40,11,2,6,0,0,2,38,1,4
33,9,137814,0,0,32,11,4,7,0,1,0,38,1,4
21,3,447488,0,0,38,4,4,6,0,2,2,25,1,4
31,11,220915,0,0,40,8,5,2,0,1,2,38,1,4
23,13,42251,0,0,45,9,4,3,0,1,2,38,0,4
34,13,162312,0,0,40,9,2,0,0,0,2,29,1,1
25,9,77698,0,0,40,11,4,6,0,1,2,29,0,1
39,9,282951,0,0,40,11,4,2,0,4,2,38,1,4
52,9,311259,0,0,40,11,2,11,1,0,3,38,1,4
63,5,65479,7688,0,40,6,2,13,1,0,1,38,1,4
41,10,277256,0,0,40,15,2,2,0,0,2,38,1,4
46,13,312088,15024,0,38,9,2,9,1,0,2,38,1,4
53,9,169719,0,0,40,11,2,3,0,0,1,38,1,4
18,8,96869,0,0,40,2,4,8,0,3,2,38,1,4
38,15,237943,0,0,50,14,2,9,0,0,2,38,1,4
55,14,119751,0,0,50,12,4,3,0,4,2,36,0,1
34,9,236861,0,0,40,11,2,12,1,0,2,38,1,4
80,9,201092,0,0,30,11,2,7,0,0,4,38,1,4
34,11,147215,0,0,60,8,0,12,0,4,2,38,0,4
52,10,152373,5013,0,40,15,2,12,0,0,2,38,1,4
42,9,227968,0,0,28,11,4,7,0,4,2,13,0,2
26,10,362617,0,0,40,15,4,11,0,1,2,38,0,4
31,9,103435,0,0,40,11,2,13,0,0,2,38,1,4
25,9,281412,0,0,35,11,4,7,0,3,1,38,0,4
55,9,105239,0,2057,60,11,2,2,0,0,4,38,1,4
19,10,230165,0,0,12,15,4,7,0,3,2,38,0,4
62,10,177493,0,0,32,15,2,13,0,0,4,38,1,4
22,10,104443,0,0,20,15,4,0,0,3,0,38,0,4
35,9,143385,0,0,40,11,2,5,0,0,2,38,1,4
28,9,107189,0,0,40,11,2,11,0,3,2,38,0,4
47,9,212944,0,0,70,11,2,13,1,0,2,38,1,4
44,9,138634,0,0,40,11,2,6,0,0,5,38,1,4
21,10,99970,0,0,15,15,4,11,0,3,2,38,1,4
35,11,203717,0,0,50,8,4,2,0,1,2,38,1,4
24,13,313956,0,0,40,9,2,9,1,0,2,38,1,4
28,13,193868,0,0,50,9,4,12,0,3,2,38,1,4
21,10,250939,0,0,35,15,4,6,0,2,2,38,1,4
62,10,57629,4650,0,40,15,0,12,0,1,0,38,1,2
39,9,281768,0,0,40,11,4,7,0,1,2,38,0,2
30,9,260782,0,0,40,11,4,7,0,1,5,38,1,4
72,15,243769,0,1429,20,14,4,9,0,1,4,38,1,4
50,10,109937,0,0,50,15,2,3,0,5,2,38,0,4
28,14,134890,0,0,40,12,4,9,0,1,1,38,1,4
29,10,100293,0,0,40,15,4,9,0,1,2,38,0,4
26,13,132179,0,0,40,9,4,0,0,3,2,38,0,4
27,14,116372,0,0,40,12,4,3,0,1,2,38,0,4
29,10,255412,3103,0,40,15,2,5,1,0,2,38,1,4
29,6,342400,0,0,25,0,2,2,0,0,2,38,1,4
31,7,169085,0,0,20,1,2,11,0,5,2,38,0,4
25,9,177221,0,0,75,11,2,3,0,0,2,38,1,4
58,6,65325,0,0,40,0,2,13,1,0,2,38,1,4
64,10,118944,0,0,40,15,2,3,1,5,2,38,0,4
46,14,149337,0,0,38,12,4,3,0,1,5,38,1,4
19,9,106183,0,0,35,11,4,7,0,3,2,38,0,0
42,9,226388,0,0,52,11,0,7,0,1,2,38,1,2
18,7,220754,0,0,24,1,4,5,0,3,2,38,1,4
58,13,204021,15024,0,50,9,2,2,1,0,3,38,1,4
20,10,347391,0,0,60,15,4,10,0,1,2,38,1,2
35,9,413930,0,0,40,11,2,2,1,0,0,38,1,4
32,9,174201,0,0,38,11,2,5,1,0,2,38,1,4
23,9,145917,0,0,25,11,4,5,0,1,2,38,0,4
31,10,241797,0,0,40,15,0,12,0,4,2,38,0,4
33,13,265168,0,0,55,9,2,11,0,0,2,38,1,2
41,10,171234,0,0,48,15,4,6,0,1,2,38,0,4
22,9,178452,0,0,40,11,4,6,0,3,2,38,1,2
46,10,157857,0,0,40,15,2,10,1,0,2,38,1,4
61,10,512864,0,0,40,15,2,13,0,0,0,38,1,2
30,9,296462,0,0,40,11,4,3,0,1,2,38,1,2
42,9,171615,0,0,55,11,2,3,1,0,2,38,1,4
63,6,214071,0,0,40,0,2,5,0,0,2,38,1,4
26,10,172421,0,0,40,15,2,11,0,0,2,38,1,4
42,6,195488,0,0,40,0,0,0,0,4,2,38,0,4
23,10,316841,0,0,40,15,2,7,0,0,2,38,1,4
25,9,236267,0,1590,40,11,4,6,0,4,2,38,1,4
30,5,236543,0,0,32,6,2,7,1,0,2,7,1,4
23,9,318483,0,0,40,11,4,11,0,3,2,38,1,4
34,11,163756,27828,0,60,8,4,4,1,1,4,38,1,4
30,9,238186,0,2057,48,11,2,6,0,2,2,38,1,4
39,10,329980,0,0,40,15,2,2,1,0,2,38,1,4
30,7,169269,0,1721,38,1,4,5,0,2,2,32,1,4
38,10,34744,0,0,38,15,0,0,0,4,1,38,0,4
26,9,98114,0,0,40,11,0,3,0,3,2,38,0,4
20,10,109667,0,0,16,15,4,5,0,3,2,38,1,4
33,9,147430,0,0,40,11,2,0,0,3,2,38,0,4
24,13,224238,0,0,40,9,4,0,0,3,2,38,1,4
42,13,212894,0,0,60,9,2,3,1,0,3,38,1,4
51,9,136708,3103,0,84,11,2,11,0,0,4,39,1,1
56,12,38573,0,0,45,7,2,12,1,0,1,38,1,4
22,10,197200,0,0,40,15,4,5,0,3,2,38,1,4
52,10,182796,0,0,60,15,2,4,0,0,4,38,1,4
44,13,184527,4934,0,45,9,0,3,1,4,2,38,0,4
34,9,145231,4064,0,35,11,2,0,0,5,2,38,0,4
51,10,43354,0,0,42,15,0,2,1,1,2,38,1,4
19,10,355712,0,0,25,15,4,11,0,1,2,38,0,4
37,13,98776,0,0,40,9,2,3,1,0,2,38,1,4
68,9,257557,0,0,40,11,2,6,1,0,2,38,1,2
22,10,102258,0,0,40,15,0,10,0,1,2,38,1,4
56,13,170287,0,0,40,9,2,3,0,0,3,38,1,4
37,9,243409,0,0,40,11,2,2,0,0,2,38,1,4
52,2,55608,0,0,40,3,2,6,0,0,2,25,1,4
26,9,248057,0,0,40,11,5,5,0,3,2,32,1,4
33,14,95530,0,0,50,12,2,9,0,0,2,38,1,4
45,14,54038,0,0,42,12,0,9,0,4,1,38,0,4
18,7,161245,0,0,15,1,4,7,0,3,2,38,1,4
43,10,388725,0,0,60,15,2,4,1,0,4,38,1,4
18,9,228216,0,0,20,11,4,5,0,3,2,38,1,4
57,9,78020,0,0,40,11,2,2,1,0,2,38,1,4
41,9,249254,3674,0,42,11,0,0,0,4,2,38,0,4
34,14,87218,0,1887,50,12,2,3,1,0,2,38,1,4
19,9,304299,0,0,40,11,4,11,0,4,2,38,0,4
44,5,196234,0,0,55,6,0,7,0,4,2,5,0,4
56,6,197875,0,0,40,0,6,7,0,4,2,38,0,4
36,9,48063,0,0,80,11,2,4,0,0,3,38,1,4
48,13,253596,0,0,48,9,0,3,0,4,2,38,0,4
29,9,39257,0,0,40,11,2,13,1,0,2,38,1,4
33,13,56150,2174,0,40,9,4,2,0,1,2,38,1,4
31,3,179415,0,0,40,4,2,7,0,0,2,25,1,4
39,14,252445,0,0,45,12,2,9,1,0,2,38,1,4
66,9,275918,10605,0,40,11,2,3,1,0,2,38,1,4
27,13,106562,0,0,50,9,4,9,1,1,2,38,0,4
39,9,198654,99999,0,40,11,0,3,1,4,2,38,0,2
59,4,107318,5178,0,50,5,2,2,1,0,2,38,1,4
26,9,181896,0,0,40,11,4,7,0,3,2,38,0,4
31,11,106014,0,0,40,8,0,2,0,4,2,38,1,4
23,9,197997,0,0,30,11,4,5,0,3,2,38,1,4
36,9,173542,0,0,40,11,0,0,0,4,1,38,0,4
34,10,207564,0,0,12,15,2,7,1,5,2,38,0,4
32,9,224462,0,0,84,11,2,13,1,0,2,38,1,4
37,13,123361,0,0,50,9,2,9,1,0,2,38,1,2
33,13,90409,0,0,45,9,4,11,0,1,2,38,1,4
50,15,165001,99999,0,80,14,2,9,1,0,4,38,1,4
32,12,149573,0,0,40,7,4,10,0,1,0,38,1,2
35,13,249456,0,0,40,9,4,0,0,3,2,38,0,2
37,7,149898,0,0,40,1,2,2,0,0,2,38,1,4
44,10,292985,0,0,60,15,0,2,0,1,2,38,1,4
57,10,50223,0,0,25,15,0,5,0,2,2,38,1,4
29,10,400074,0,0,40,15,2,3,0,3,1,38,0,4
55,9,197399,0,0,50,11,2,2,1,0,2,38,1,4
43,15,209547,0,0,25,14,2,9,1,0,3,38,1,4
43,10,52433,0,0,70,15,2,11,0,0,2,38,1,4
45,10,355978,0,0,60,15,2,11,1,0,4,38,1,4
33,14,48214,0,0,8,12,2,9,0,5,4,38,0,4
26,6,190873,0,0,40,0,0,7,0,4,2,10,0,4
23,10,278390,0,0,68,15,2,11,0,0,2,38,1,4
41,4,203217,0,0,40,5,5,2,0,1,2,25,1,4
24,9,279175,0,0,40,11,2,2,0,0,2,38,1,4
47,13,194590,0,0,44,9,2,11,0,0,4,38,1,4
34,9,198813,0,0,45,11,4,2,0,3,4,38,1,4
40,9,187294,0,0,40,11,2,3,1,0,2,38,1,4
28,13,302903,0,1485,40,9,2,9,0,5,2,38,0,1
24,9,154835,0,0,40,11,4,3,0,3,2,34,0,1
23,9,100345,0,0,15,11,4,2,0,2,2,38,1,4
43,9,126320,0,0,40,11,2,3,1,0,4,38,1,2
26,13,142226,0,0,40,9,0,12,0,1,2,38,0,4
58,16,112076,0,1485,35,10,1,3,1,5,4,38,0,4
52,9,225339,0,0,35,11,6,0,0,4,2,38,0,2
29,7,211208,0,0,99,1,2,13,1,0,2,38,1,4
47,7,200808,0,0,35,1,2,7,0,0,2,3,1,4
49,9,220618,0,0,37,11,0,0,0,4,2,38,0,2
40,7,210493,0,0,40,1,6,0,0,4,2,38,0,4
62,9,369734,0,0,40,11,2,0,0,5,4,38,0,4
49,9,27898,0,1977,55,11,2,3,1,0,2,38,1,4
50,13,138193,0,0,50,9,0,9,1,2,2,38,0,4
31,9,224234,0,0,40,11,4,13,0,3,2,38,1,2
48,14,188741,0,0,50,12,4,9,0,1,1,38,0,4
24,9,183772,0,0,40,11,4,2,0,4,2,38,0,4
37,9,79586,0,0,60,11,5,6,0,3,2,38,1,1
45,13,355781,0,0,45,9,2,3,1,0,2,23,1,1
36,14,116358,0,0,45,12,2,3,0,0,2,18,1,1
45,13,59287,0,0,40,9,2,3,0,0,2,38,1,4
41,13,138868,0,0,40,9,4,11,0,1,2,38,0,4
26,12,185885,0,0,20,7,4,12,0,2,2,38,0,4
17,7,40299,0,0,25,1,4,11,0,3,2,38,0,4
43,9,51494,0,0,65,11,2,6,0,0,2,38,1,4
35,9,179481,0,0,55,11,4,13,0,3,2,38,1,4
38,13,365907,0,0,40,9,0,0,0,4,2,38,0,4
26,9,284343,0,0,40,11,4,6,0,1,2,38,1,4
28,10,204862,0,0,40,15,4,3,0,3,2,38,0,4
38,13,272476,0,0,24,9,2,9,1,5,2,38,0,4
36,7,175130,0,0,40,1,0,13,0,4,2,38,0,4
33,9,118941,0,0,40,11,2,0,1,5,2,38,0,4
19,9,164339,1055,0,70,11,4,5,0,3,2,38,1,4
42,6,55457,0,0,40,0,2,0,0,0,0,25,1,4
50,6,280292,0,0,40,0,2,13,1,0,2,38,1,4
30,9,446894,0,0,30,11,2,5,0,0,2,38,1,4
37,10,67083,0,0,40,15,2,9,0,2,5,0,1,1
54,15,159219,99999,0,40,14,2,9,1,0,3,38,1,4
52,13,168539,0,0,40,9,4,3,0,1,3,38,1,4
33,9,150309,0,0,40,11,0,2,0,1,2,38,0,4
25,10,122999,0,0,40,15,4,12,0,2,2,38,1,4
24,13,302195,0,0,45,9,4,11,0,1,2,38,1,4
26,11,210982,114,0,40,8,5,0,0,4,2,38,0,2
39,9,177140,0,0,40,11,5,0,1,1,2,38,1,4
59,9,113838,0,0,40,11,0,7,0,1,2,38,0,4
29,10,97165,0,0,40,15,4,0,0,4,2,38,0,4
47,7,104301,0,0,45,1,4,7,0,3,2,38,0,4
64,9,115931,0,0,50,11,2,13,0,0,3,38,1,4
21,9,147280,0,0,20,11,4,7,0,3,2,38,1,3
32,10,185433,0,0,40,15,2,0,1,5,2,38,0,2
26,9,599057,0,0,37,11,4,3,0,1,2,38,0,2
62,14,71467,0,0,40,12,2,9,0,0,4,38,1,4
32,13,183977,0,0,55,9,2,2,1,0,2,38,1,4
45,9,196858,0,0,60,11,2,3,0,0,4,38,1,4
31,13,160594,0,1887,50,9,2,3,1,0,2,38,1,4
32,9,65278,2580,0,40,11,2,0,0,0,2,38,1,4
24,13,102258,0,0,40,9,2,11,0,0,2,38,1,4
25,13,196947,0,0,40,9,4,11,0,3,2,38,0,4
41,9,233150,0,0,60,11,2,3,0,0,4,38,1,4
18,10,42857,0,0,20,15,4,11,0,3,2,38,0,4
44,16,118059,0,0,55,10,2,9,1,0,2,38,1,4
40,10,169262,3411,0,50,15,2,3,0,0,2,38,1,4
27,13,95108,0,0,40,9,4,9,0,1,2,38,1,4
23,13,161092,0,0,40,9,4,0,0,3,2,38,1,4
21,10,345253,2174,0,40,15,4,0,0,1,2,38,1,3
37,9,111275,0,0,40,11,2,13,0,0,5,38,1,4
65,9,178878,0,0,48,11,2,4,0,0,4,38,1,4
43,14,157237,0,0,40,12,2,9,1,0,0,38,1,4
45,9,155664,0,0,44,11,4,0,0,1,2,38,1,4
24,13,322658,0,0,40,9,4,3,0,1,5,38,0,4
24,10,208503,0,0,42,15,4,6,0,1,2,38,1,4
19,10,223326,0,1721,35,15,4,10,0,3,1,38,1,4
37,13,20308,0,0,65,9,2,9,1,0,2,38,1,4
24,9,124751,0,0,35,11,4,0,0,3,2,38,0,4
34,10,113364,0,0,40,15,2,6,0,0,2,10,1,4
50,9,196900,0,0,39,11,2,7,0,5,5,38,0,4
36,9,168170,0,0,40,11,2,2,0,0,2,32,1,4
39,13,205338,0,0,60,9,2,11,0,0,2,38,1,4
44,4,98806,0,0,38,5,2,2,0,0,4,38,1,4
45,9,226452,0,0,40,11,2,7,0,0,5,38,1,4
32,7,479179,0,0,40,1,4,10,0,3,5,38,1,4
47,14,471990,0,0,40,12,2,3,1,0,0,38,1,2
50,9,44728,0,0,40,11,2,6,0,0,2,38,1,4
32,11,33117,0,0,40,8,2,7,0,0,2,38,1,4
19,9,264876,0,0,40,11,4,5,0,3,2,38,1,4
28,9,193122,0,0,50,11,0,11,0,2,2,38,1,4
39,14,149347,0,0,40,12,4,9,1,1,0,30,1,4
21,10,129172,2907,0,40,15,4,7,0,1,2,38,1,4
73,10,151255,0,0,75,15,6,4,0,1,4,38,0,4
39,4,98886,4508,0,40,5,2,7,0,0,2,25,1,4
25,10,238673,0,0,40,15,4,6,0,1,2,38,1,4
31,10,137991,0,0,20,15,1,11,0,5,2,38,0,4
51,10,85942,0,0,32,15,0,11,0,1,2,38,0,4
39,13,85783,0,0,28,9,2,0,0,5,2,38,0,4
31,13,174789,0,0,40,9,0,5,0,3,2,38,1,4
21,10,457162,0,0,17,15,4,11,0,3,2,38,1,2
46,13,176026,27828,0,50,9,0,3,1,1,2,38,1,4
73,9,88594,0,0,35,11,0,3,0,1,2,38,0,4
